What does a wind turbine do?,Converts wind energy into electricity,Blows wind like a fan,Creates energy,Spins like a pinwheel,easy
How tall is the world's tallest wind turbine?,919 feet,5 feet,1 mile,600 feet,hard
Where are wind turbines located?,All of the above,On the roofs of buildings,In the ocean,On land,easy
When was the first wind turbine built?,1887,1889,1900,2021,hard
Where was the first wind turbine built?,Scotland,New York,Michigan,England,hard
Who built the first wind turbine?,James Blyth,Thomas Edison,Albert Einstein,Nikola Tesla,hard
Is a wind turbine the same thing as a windmill?,No! A windmill grinds grain. A wind turbine transforms wind energy into electricity.,Yes! They both spin in the wind.,,easy
What kind of energy does a wind turbine CREATE?,None! It's impossible to create energy. A wind turbine TRANSFORMS kinetic energy into electricity.,Electricity,Mechanical,Nuclear,medium
Is a wind turbine basically a large fan?,No! A fan turns electricity into wind energy. A wind turbine does the opposite!,Yes! They both spin in the wind!,,medium
A wind turbine transforms energy. Is energy the same thing as power?,No! Power is how fast energy moves.,Yes!,,medium
Which of the following has no effect on the power of a wind turbine?,Color,Wind speed,Height,Width,easy
What is another name for wind energy?,Eolic energy,Chemical energy,Speed energy,Weather energy,hard
How many blades do wind turbines typically have?,3,1,2,4,easy
"Airfoil is the name of the shape of a wind turbine blade. What else is an airfoil shape?",All of the above,Birds,Plane wing,Fish,medium
What is the name for the mechanism inside the wind turbine that converts wind energy to electricity?,Transmission,Energy converter,Mechatronic,Transformer,hard
How long ago was wind energy developed?,200 BCE,1960s,1800s,1300s,hard
Humans used tools to harness the wind before wind turbines. What are some of these tools?,All of the above,Sails (on sailboats),Wind Mills,None of the above,easy
A single commercial wind turbine can power how many homes?,600,1,50,"200,000",hard
One small wind turbine in your backyard can power...,Your home,Your neighborhood,Your phone,Your city,medium
Wind is used to power a windmill. What else can power a mill?,Flowing water!,Nothing else,,,medium